AP_Rnk,PS_Rnk,KP_Rank,TournamentYear,TeamID,TS_Team,Auto_Bid,KP_Conference,TS_GP,STA_W,STA_L,STA_Pct,STA_Conf_W,STA_Conf_L,STA_Conf_Pct,STA_Home_W,STA_Home_L,STA_Away_W,STA_Away_L,STA_Neutral_W,STA_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA_Conf_PA,STA_Conf_PPG,STA_Conf_PAPG,STA_PF,STA_PA,STA_PPG,STA_PAPG,TS_FGM,TS_FGA,TS_FG%,TS_3PM,TS_3PA,TS_3P%,TS_FTM,TS_FTA,TS_FT%,KP_Ajusted_Efficiency_Margin,KP_Adjusted_Offensive_Efficiency,KP_AOE_Rk,KP_Adjusted_Defensive_Efficiency,KP_ADE_Rk,KP_Adjusted_Tempo,KP_AT_Rk,KP_Luck,KP_Luck_Rk,KP_Strength_of_Schedule,KP_SOS_Rk,KP_Non-Conference_Strength_of_Schedule,KP_NCSOS_Rk,KP_Average_Opponents_Offensive_Efficiency,KP_AOOE_Rk,KP_Average_Opponents_Defensive_Efficiency,KP_AODE_Rk,Round,Round_Number,Team,Seed,Opponent,OppSeed,PF,PA,WL,Won_Game,OppTeamID,Opp_AP_Rnk,Opp_PS_Rnk,Opp_KP_Rank,Opp_TeamID,Opp_TS_Team,Opp_KP_Conference,Opp_TS_GP,Opp_STA_W,Opp_STA_L,Opp_STA_Pct,Opp_STA_Conf_W,Opp_STA_Conf_L,Opp_STA_Conf_Pct,Opp_STA_Home_W,Opp_STA_Home_L,Opp_STA_Away_W,Opp_STA_Away_L,Opp_STA_Neutral_W,Opp_STA_Neutral_L,Opp_STA_Top25_W,Opp_STA_Top25_L,Opp_STA_Conf_PF,Opp_STA_Conf_PA,Opp_STA_Conf_PPG,Opp_STA_Conf_PAPG,Opp_STA_PF,Opp_STA_PA,Opp_STA_PPG,Opp_STA_PAPG,Opp_TS_FGM,Opp_TS_FGA,Opp_TS_FG%,Opp_TS_3PM,Opp_TS_3PA,Opp_TS_3P%,Opp_TS_FTM,Opp_TS_FTA,Opp_TS_FT%,Opp_KP_Ajusted_Efficiency_Margin,Opp_KP_Adjusted_Offensive_Efficiency,Opp_KP_AOW_Rk,Opp_KP_Adjusted_Defensive_Efficiency,Opp_KP_ADE_Rk,Opp_KP_Adjusted_Tempo,Opp_KP_AT_Rk,Opp_KP_Luck,Opp_KP_Luck_Rk,Opp_KP_Strength_of_Schedule,Opp_KP_SOS_Rk,Opp_KP_Non-Conference_Strength_of_Schedule,Opp_KP_NCSOS_Rk,Opp_KP_Average_Opponents_Offensive_Efficiency,Opp_KP_AOOE_Rk,Opp_KP_Average_Opponents_Defensive_Efficiency,Opp_KP_AODE_Rk,GameID
,,170,2018,237,Radford,1,BSth,34,22,12,0.647,12,6,0.667,11,2,7,10,5,1,0,1,1245,1156,69.16666667,64.22222222,2422,2336,67.27777778,64.88888889,802,1882,0.426,263,752,0.35,423,585,0.723,0.07,102.9,212,102.9,127,63,344,0.063,45,-4.03,255,3.49,71,102.8,259,106.9,249,First Four,0,Radford,16,Long Island,16,71,61,W,1,28,,,259,28,Long Island University,NEC,34,18,16,0.529,10,8,0.556,12,4,5,11,1,2,0,0,1408,1399,78.22222222,77.72222222,2696,2674,77.02857143,76.4,916,2005,0.457,272,789,0.345,531,763,0.696,-8.27,102.3,220,110.6,287,71.6,37,0.012,144,-8.68,336,-6.06,317,100.2,334,108.9,333,116
11,20,5,2018,203,Purdue,0,B10,34,28,6,0.824,15,3,0.833,16,1,8,2,6,4,3,4,1379,1193,76.61111111,66.27777778,2974,2431,80.37837838,65.7027027,958,1928,0.497,326,776,0.42,517,696,0.743,26.27,122.7,2,96.4,31,67.2,223,0.006,163,9.02,41,0.69,144,109.1,51,100.1,14,First Round,1,Purdue,2,Cal St. Fullerton,15,74,48,W,1,255,,,162,255,CSU Fullerton,BW,31,20,11,0.645,10,6,0.625,10,4,7,7,3,1,0,3,1189,1138,74.3125,71.125,2318,2245,72.4375,70.15625,786,1671,0.47,163,482,0.338,535,729,0.734,0.62,103.7,192,103.1,133,69.6,98,0.097,14,-1.2,167,2.76,83,103.8,204,105,139,117
,,316,2018,266,North Carolina Central,1,MEAC,34,19,15,0.559,9,7,0.563,12,2,3,13,4,1,0,0,1155,1135,72.1875,70.9375,2520,2425,72,69.28571429,928,1991,0.466,212,626,0.339,406,591,0.687,-13.41,96.6,314,110,276,65,321,0.019,126,-12.78,350,-1.47,196,98.4,349,111.2,351,First Four,0,N.C. Central,16,Texas Southern,16,46,64,L,0,273,,,243,273,Texas Southern,SWAC,34,15,19,0.441,12,6,0.667,8,2,5,17,3,1,0,5,1464,1372,81.33333333,76.22222222,2787,2859,77.41666667,79.41666667,878,1989,0.441,266,732,0.363,618,860,0.719,-6.65,104.6,180,111.2,299,71.7,31,-0.01,206,-6.3,304,17.2,1,101,318,107.3,271,129
,,259,2018,28,Long Island University,1,NEC,34,18,16,0.529,10,8,0.556,12,4,5,11,1,2,0,0,1408,1399,78.22222222,77.72222222,2696,2674,77.02857143,76.4,916,2005,0.457,272,789,0.345,531,763,0.696,-8.27,102.3,220,110.6,287,71.6,37,0.012,144,-8.68,336,-6.06,317,100.2,334,108.9,333,First Four,0,Long Island,16,Radford,16,61,71,L,0,237,,,170,237,Radford,BSth,34,22,12,0.647,12,6,0.667,11,2,7,10,5,1,0,1,1245,1156,69.16666667,64.22222222,2422,2336,67.27777778,64.88888889,802,1882,0.426,263,752,0.35,423,585,0.723,0.07,102.9,212,102.9,127,63,344,0.063,45,-4.03,255,3.49,71,102.8,259,106.9,249,116
,21,56,2018,238,UCLA,0,P12,32,21,11,0.656,11,7,0.611,14,2,3,7,4,3,2,2,1472,1374,81.77777778,76.33333333,2679,2507,81.18181818,75.96969697,906,1964,0.461,300,783,0.383,509,705,0.722,13.52,115,31,101.4,103,70.3,70,-0.027,257,6.42,63,2.93,81,108.1,72,101.7,60,First Four,0,UCLA,11,St. Bonaventure,11,58,65,L,0,261,,,68,261,St. Bonaventure,A10,32,25,7,0.781,14,4,0.778,13,1,9,4,4,3,1,1,1434,1330,79.66666667,73.88888889,2620,2407,77.05882353,70.79411765,844,1851,0.456,248,623,0.398,557,739,0.754,11.21,110.8,74,99.5,74,69.4,104,0.078,21,2.8,94,1.17,127,107,86,104.2,111,75
,,49,2018,235,Arizona State,0,P12,31,20,11,0.645,8,10,0.444,13,4,4,6,3,2,2,2,1403,1378,77.94444444,76.55555556,2645,2395,82.65625,74.84375,867,1868,0.464,277,761,0.364,578,783,0.738,14.13,116.7,18,102.6,123,71.3,43,-0.083,340,5.48,71,0.94,138,107.4,77,101.9,64,First Four,0,Arizona St.,11,Syracuse,11,56,60,L,0,155,,,41,155,Syracuse,ACC,33,20,13,0.606,8,10,0.444,14,5,4,6,5,3,2,8,1161,1173,64.5,65.16666667,2466,2360,66.64864865,63.78378378,751,1796,0.418,193,600,0.322,534,721,0.741,14.82,107,135,92.2,5,62.9,345,0.021,119,9.81,27,-0.2,163,111.3,9,101.5,58,91
,,243,2018,273,Texas Southern,1,SWAC,34,15,19,0.441,12,6,0.667,8,2,5,17,3,1,0,5,1464,1372,81.33333333,76.22222222,2787,2859,77.41666667,79.41666667,878,1989,0.441,266,732,0.363,618,860,0.719,-6.65,104.6,180,111.2,299,71.7,31,-0.01,206,-6.3,304,17.2,1,101,318,107.3,271,First Four,0,Texas Southern,16,N.C. Central,16,64,46,W,1,266,,,316,266,North Carolina Central,MEAC,34,19,15,0.559,9,7,0.563,12,2,3,13,4,1,0,0,1155,1135,72.1875,70.9375,2520,2425,72,69.28571429,928,1991,0.466,212,626,0.339,406,591,0.687,-13.41,96.6,314,110,276,65,321,0.019,126,-12.78,350,-1.47,196,98.4,349,111.2,351,129
,,76,2019,168,Vermont,1,AE,33,26,6,0.788,14,2,0.875,16,2,11,4,0,1,0,2,1151,928,71.9,58,2508,2143,73.76470588,63.02941176,841,1834,0.459,257,729,0.353,500,665,0.752,8.86,108.5,97,99.6,88,65.5,285,0.043,77,-5.55,281,3.2,85,100.7,311,106.2,221,First Round,1,Vermont,13,Florida St.,4,69,76,L,0,193,10,17,14,193,Florida State,ACC,34,27,7,0.794,13,5,0.722,15,1,6,4,8,3,6,5,1293,1198,71.8,66.6,2771,2485,74.89189189,67.16216216,879,1984,0.443,255,760,0.336,534,721,0.741,22.39,112.8,36,90.4,10,68.6,121,0.046,70,10.46,30,0.93,128,109.8,20,99.3,33,1
11,,12,2019,130,Houston,0,Amer,34,31,3,0.912,16,2,0.889,19,1,10,1,4,2,3,2,1401,1155,77.8,64.2,2787,2258,75.32432432,61.02702703,883,1968,0.449,305,838,0.364,443,629,0.704,24.13,115.3,19,91.2,11,66.1,260,0.039,86,4.45,76,-4.16,283,105.7,92,101.3,62,First Round,1,Houston,3,Georgia St.,14,84,55,W,1,24,,,124,24,Georgia State,SB,33,24,9,0.727,13,5,0.722,13,1,7,7,4,2,0,2,1395,1330,77.5,73.9,2598,2491,76.41176471,73.26470588,865,1858,0.466,316,814,0.388,424,643,0.659,4.85,107.7,111,102.8,143,70,69,0.143,2,1.09,115,3.5,70,105.2,121,104.1,137,3
22,,29,2019,166,Cincinnati,1,Amer,34,28,6,0.824,14,4,0.778,16,2,7,4,5,1,1,4,1259,1167,69.9,64.8,2510,2194,71.71428571,62.68571429,822,1903,0.432,220,629,0.35,505,719,0.702,17.5,112.3,42,94.8,28,63.4,338,0.05,64,5.12,67,-2.85,243,107.1,66,102,73,First Round,1,Cincinnati,7,Iowa,10,72,79,L,0,50,,,37,50,Iowa,B10,33,22,11,0.667,10,10,0.5,14,4,4,6,5,2,5,7,1501,1533,75.1,76.7,2740,2585,78.28571429,73.85714286,862,1894,0.455,267,739,0.361,593,801,0.74,16.02,117.4,15,101.3,111,69.5,84,0.05,63,10.64,26,-6.49,329,108.9,42,98.3,16,6
