AP_Rnk,PS_Rnk,KP_Rank,TournamentYear,TeamID,TS_Team,Auto_Bid,KP_Conference,TS_GP,STA_W,STA_L,STA_Pct,STA_Conf_W,STA_Conf_L,STA_Conf_Pct,STA_Home_W,STA_Home_L,STA_Away_W,STA_Away_L,STA_Neutral_W,STA_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA_Conf_PA,STA_Conf_PPG,STA_Conf_PAPG,STA_PF,STA_PA,STA_PPG,STA_PAPG,TS_FGM,TS_FGA,TS_FG%,TS_3PM,TS_3PA,TS_3P%,TS_FTM,TS_FTA,TS_FT%,KP_Ajusted_Efficiency_Margin,KP_Adjusted_Offensive_Efficiency,KP_AOE_Rk,KP_Adjusted_Defensive_Efficiency,KP_ADE_Rk,KP_Adjusted_Tempo,KP_AT_Rk,KP_Luck,KP_Luck_Rk,KP_Strength_of_Schedule,KP_SOS_Rk,KP_Non-Conference_Strength_of_Schedule,KP_NCSOS_Rk,KP_Average_Opponents_Offensive_Efficiency,KP_AOOE_Rk,KP_Average_Opponents_Defensive_Efficiency,KP_AODE_Rk,Round,Round_Number,Team,Seed,Opp_AP_Rnk,Opp_PS_Rnk,Opp_KP_Rank,OppTeamID,Opp_TS_Team,Opp_KP_Conference,Opp_TS_GP,Opp_STA_W,Opp_STA_L,Opp_STA_Pct,Opp_STA_Conf_W,Opp_STA_Conf_L,Opp_STA_Conf_Pct,Opp_STA_Home_W,Opp_STA_Home_L,Opp_STA_Away_W,Opp_STA_Away_L,Opp_STA_Neutral_W,Opp_STA_Neutral_L,Opp_STA_Top25_W,Opp_STA_Top25_L,Opp_STA_Conf_PF,Opp_STA_Conf_PA,Opp_STA_Conf_PPG,Opp_STA_Conf_PAPG,Opp_STA_PF,Opp_STA_PA,Opp_STA_PPG,Opp_STA_PAPG,Opp_TS_FGM,Opp_TS_FGA,Opp_TS_FG%,Opp_TS_3PM,Opp_TS_3PA,Opp_TS_3P%,Opp_TS_FTM,Opp_TS_FTA,Opp_TS_FT%,Opp_KP_Ajusted_Efficiency_Margin,Opp_KP_Adjusted_Offensive_Efficiency,Opp_KP_AOW_Rk,Opp_KP_Adjusted_Defensive_Efficiency,Opp_KP_ADE_Rk,Opp_KP_Adjusted_Tempo,Opp_KP_AT_Rk,Opp_KP_Luck,Opp_KP_Luck_Rk,Opp_KP_Strength_of_Schedule,Opp_KP_SOS_Rk,Opp_KP_Non-Conference_Strength_of_Schedule,Opp_KP_NCSOS_Rk,Opp_KP_Average_Opponents_Offensive_Efficiency,Opp_KP_AOOE_Rk,Opp_KP_Average_Opponents_Defensive_Efficiency,Opp_KP_AODE_Rk,OppTeam,OppSeed
,,200,2021,67,Norfolk State,1,MEAC,23,16,7,0.696,8,4,0.667,7,4,6,3,3,0,0,0,951,881,79.3,73.4,1730,1591,75.2,69.2,591,1357,0.436,180,489,0.368,368,521,0.706,-2.31,101.3,204,103.6,219,67.7,221,0.031,106,-8.31,334,-0.73,224,96.9,326,105.2,312,First Four,0,Norfolk State,16,,,209,68,Appalachian State,Sun Belt,28,17,11,0.607,7,8,0.467,9,4,4,7,4,0,0,1,1040,1029,69.3,68.6,1986,1806,70.9,64.5,674,1626,0.415,227,701,0.324,411,558,0.737,-2.91,100.1,227,103,205,65.7,310,0.06,52,-2.97,232,5.72,113,100.1,249,103.1,221,Appalachian State,16
,,209,2021,68,Appalachian State,1,Sun Belt,28,17,11,0.607,7,8,0.467,9,4,4,7,4,0,0,1,1040,1029,69.3,68.6,1986,1806,70.9,64.5,674,1626,0.415,227,701,0.324,411,558,0.737,-2.91,100.1,227,103,205,65.7,310,0.06,52,-2.97,232,5.72,113,100.1,249,103.1,221,First Four,0,Appalachian State,16,,,200,67,Norfolk State,MEAC,23,16,7,0.696,8,4,0.667,7,4,6,3,3,0,0,0,951,881,79.3,73.4,1730,1591,75.2,69.2,591,1357,0.436,180,489,0.368,368,521,0.706,-2.31,101.3,204,103.6,219,67.7,221,0.031,106,-8.31,334,-0.73,224,96.9,326,105.2,312,Norfolk State,16
,,74,2021,45,Wichita State,0,American,21,16,5,0.762,11,2,0.846,10,2,5,2,1,1,1,1,945,891,72.7,68.5,1520,1416,72.4,67.4,514,1261,0.408,175,512,0.342,317,460,0.689,12.98,110.7,56,97.7,103,67.6,225,0.121,10,9.09,84,12.6,34,105.4,107,96.4,48,First Four,0,Wichita State,11,,,53,48,Drake,Missouri Valley,29,25,4,0.862,15,3,0.833,14,1,9,2,2,1,1,2,1331,1191,73.9,66.2,2245,1875,77.4,64.7,868,1757,0.494,204,552,0.37,305,428,0.713,16.07,114.6,19,98.6,120,66.8,265,0.095,21,2.18,157,-9.27,310,102.9,172,100.7,138,Drake,11
,,53,2021,48,Drake,0,Missouri Valley,29,25,4,0.862,15,3,0.833,14,1,9,2,2,1,1,2,1331,1191,73.9,66.2,2245,1875,77.4,64.7,868,1757,0.494,204,552,0.37,305,428,0.713,16.07,114.6,19,98.6,120,66.8,265,0.095,21,2.18,157,-9.27,310,102.9,172,100.7,138,First Four,0,Drake,11,,,74,45,Wichita State,American,21,16,5,0.762,11,2,0.846,10,2,5,2,1,1,1,1,945,891,72.7,68.5,1520,1416,72.4,67.4,514,1261,0.408,175,512,0.342,317,460,0.689,12.98,110.7,56,97.7,103,67.6,225,0.121,10,9.09,84,12.6,34,105.4,107,96.4,48,Wichita State,11
,13,56,2021,43,Michigan State,0,Big Ten,27,15,12,0.556,9,11,0.45,12,3,3,8,0,1,5,6,1298,1403,64.9,70.2,1864,1905,69,70,668,1574,0.424,172,537,0.32,356,494,0.721,15.44,107.7,98,92.2,32,68.6,166,0.106,16,18.16,8,-0.53,220,112.5,3,94.3,15,First Four,0,Michigan State,11,,22,44,44,UCLA,Pac-12,26,17,9,0.654,13,6,0.684,11,1,5,5,1,2,0,1,1350,1282,71.1,67.5,1894,1781,72.8,68.5,686,1485,0.462,173,471,0.367,349,484,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,UCLA,11
,22,44,2021,44,UCLA,0,Pac-12,26,17,9,0.654,13,6,0.684,11,1,5,5,1,2,0,1,1350,1282,71.1,67.5,1894,1781,72.8,68.5,686,1485,0.462,173,471,0.367,349,484,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,First Four,0,UCLA,11,,13,56,43,Michigan State,Big Ten,27,15,12,0.556,9,11,0.45,12,3,3,8,0,1,5,6,1298,1403,64.9,70.2,1864,1905,69,70,668,1574,0.424,172,537,0.32,356,494,0.721,15.44,107.7,98,92.2,32,68.6,166,0.106,16,18.16,8,-0.53,220,112.5,3,94.3,15,Michigan State,11
,,219,2021,65,Mount St. Mary's,1,NEC,22,12,10,0.545,9,7,0.563,6,3,6,6,0,1,0,0,1031,976,64.4,61,1402,1371,63.7,62.3,508,1192,0.426,146,433,0.337,240,354,0.678,-3.58,96.1,287,99.7,136,62.2,356,0.006,157,-6.06,303,11.52,44,99.4,274,105.5,321,First Four,0,Mount St. Mary's,16,,,229,66,Texas Southern,SWAC,24,16,8,0.667,10,3,0.769,8,2,5,6,3,0,0,0,976,876,75.1,67.4,1795,1672,74.8,69.7,650,1443,0.45,110,398,0.276,385,551,0.699,-4.63,99.7,236,104.3,236,72,41,0.055,61,-10.23,341,13.39,30,94,341,104.2,267,Texas Southern,16
,,229,2021,66,Texas Southern,1,SWAC,24,16,8,0.667,10,3,0.769,8,2,5,6,3,0,0,0,976,876,75.1,67.4,1795,1672,74.8,69.7,650,1443,0.45,110,398,0.276,385,551,0.699,-4.63,99.7,236,104.3,236,72,41,0.055,61,-10.23,341,13.39,30,94,341,104.2,267,First Four,0,Texas Southern,16,,,219,65,Mount St. Mary's,NEC,22,12,10,0.545,9,7,0.563,6,3,6,6,0,1,0,0,1031,976,64.4,61,1402,1371,63.7,62.3,508,1192,0.426,146,433,0.337,240,354,0.678,-3.58,96.1,287,99.7,136,62.2,356,0.006,157,-6.06,303,11.52,44,99.4,274,105.5,321,Mount St. Mary's,16
1,1,1,2021,1,Gonzaga,1,WCC,26,26,0,1,15,0,1,12,0,7,0,7,0,4,0,1363,1002,90.9,66.8,2395,1797,92.1,69.1,888,1612,0.551,190,520,0.365,429,590,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,First Round,1,Gonzaga,1,,,200,67,Norfolk State,MEAC,23,16,7,0.696,8,4,0.667,7,4,6,3,3,0,0,0,951,881,79.3,73.4,1730,1591,75.2,69.2,591,1357,0.436,180,489,0.368,368,521,0.706,-2.31,101.3,204,103.6,219,67.7,221,0.031,106,-8.31,334,-0.73,224,96.9,326,105.2,312,Norfolk State,16
,,200,2021,67,Norfolk State,1,MEAC,23,16,7,0.696,8,4,0.667,7,4,6,3,3,0,0,0,951,881,79.3,73.4,1730,1591,75.2,69.2,591,1357,0.436,180,489,0.368,368,521,0.706,-2.31,101.3,204,103.6,219,67.7,221,0.031,106,-8.31,334,-0.73,224,96.9,326,105.2,312,First Round,1,Norfolk State,16,1,1,1,1,Gonzaga,WCC,26,26,0,1,15,0,1,12,0,7,0,7,0,4,0,1363,1002,90.9,66.8,2395,1797,92.1,69.1,888,1612,0.551,190,520,0.365,429,590,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Gonzaga,1
,,39,2021,32,Oklahoma,0,Big 12,25,15,10,0.6,9,8,0.529,10,3,4,7,1,0,5,7,1232,1179,72.5,69.4,1869,1731,74.8,69.2,670,1517,0.442,200,591,0.338,329,442,0.744,18.07,112.1,36,94.1,53,67.7,222,-0.038,260,12.45,48,0.59,203,108.2,55,95.7,38,First Round,1,Oklahoma,8,,,51,33,Missouri,SEC,25,16,9,0.64,8,8,0.5,8,4,6,4,2,1,4,2,1152,1168,72,73,1841,1798,73.6,71.9,646,1439,0.449,173,540,0.32,376,539,0.698,16.58,110.9,51,94.4,58,68.7,160,0.088,24,15.08,17,9.77,59,109.8,25,94.7,20,Missouri,9
,,51,2021,33,Missouri,0,SEC,25,16,9,0.64,8,8,0.5,8,4,6,4,2,1,4,2,1152,1168,72,73,1841,1798,73.6,71.9,646,1439,0.449,173,540,0.32,376,539,0.698,16.58,110.9,51,94.4,58,68.7,160,0.088,24,15.08,17,9.77,59,109.8,25,94.7,20,First Round,1,Missouri,9,,,39,32,Oklahoma,Big 12,25,15,10,0.6,9,8,0.529,10,3,4,7,1,0,5,7,1232,1179,72.5,69.4,1869,1731,74.8,69.2,670,1517,0.442,200,591,0.338,329,442,0.744,18.07,112.1,36,94.1,53,67.7,222,-0.038,260,12.45,48,0.59,203,108.2,55,95.7,38,Oklahoma,8
19,11,19,2021,17,Creighton,0,Big East,28,20,8,0.714,14,6,0.7,11,3,7,4,2,1,3,2,1535,1397,76.8,69.9,2155,1912,77,68.3,797,1675,0.476,272,742,0.367,289,450,0.642,22.73,115.6,14,92.8,40,69.1,144,0.001,172,12.52,45,-1.4,233,107.8,63,95.3,29,First Round,1,Creighton,5,,,69,50,UC Santa Barbara,Big West,26,22,4,0.846,13,3,0.813,11,0,8,4,3,0,0,0,1309,1119,72.7,62.2,1989,1633,76.5,62.8,717,1477,0.485,176,501,0.351,379,505,0.75,13.66,109.9,66,96.3,82,66.1,295,0.054,63,-0.54,185,2.48,169,101.4,215,101.9,174,UC Santa Barbara,12
,,69,2021,50,UC Santa Barbara,1,Big West,26,22,4,0.846,13,3,0.813,11,0,8,4,3,0,0,0,1309,1119,72.7,62.2,1989,1633,76.5,62.8,717,1477,0.485,176,501,0.351,379,505,0.75,13.66,109.9,66,96.3,82,66.1,295,0.054,63,-0.54,185,2.48,169,101.4,215,101.9,174,First Round,1,UC Santa Barbara,12,19,11,19,17,Creighton,Big East,28,20,8,0.714,14,6,0.7,11,3,7,4,2,1,3,2,1535,1397,76.8,69.9,2155,1912,77,68.3,797,1675,0.476,272,742,0.367,289,450,0.642,22.73,115.6,14,92.8,40,69.1,144,0.001,172,12.52,45,-1.4,233,107.8,63,95.3,29,Creighton,5
15,4,11,2021,16,Virginia,0,ACC,24,18,6,0.75,13,4,0.765,10,1,6,3,2,2,1,3,1128,1014,66.4,59.6,1647,1451,68.6,60.5,608,1266,0.48,204,535,0.381,227,278,0.817,24.08,116.3,12,92.3,33,60.1,357,0.046,83,12.02,53,0.28,210,109.6,30,97.6,84,First Round,1,Virginia,4,,,78,51,Ohio,MAC,23,16,7,0.696,9,5,0.643,8,3,4,4,4,0,0,1,1101,1064,78.6,76,1860,1685,80.9,73.3,686,1403,0.489,195,540,0.361,293,418,0.701,12.54,113.7,29,101.2,174,69.3,131,0.027,113,4.23,133,1.47,191,105.3,108,101.1,146,Ohio,13
,,78,2021,51,Ohio,1,MAC,23,16,7,0.696,9,5,0.643,8,3,4,4,4,0,0,1,1101,1064,78.6,76,1860,1685,80.9,73.3,686,1403,0.489,195,540,0.361,293,418,0.701,12.54,113.7,29,101.2,174,69.3,131,0.027,113,4.23,133,1.47,191,105.3,108,101.1,146,First Round,1,Ohio,13,15,4,11,16,Virginia,ACC,24,18,6,0.75,13,4,0.765,10,1,6,3,2,2,1,3,1128,1014,66.4,59.6,1647,1451,68.6,60.5,608,1266,0.48,204,535,0.381,227,278,0.817,24.08,116.3,12,92.3,33,60.1,357,0.046,83,12.02,53,0.28,210,109.6,30,97.6,84,Virginia,4
24,,14,2021,21,USC,0,Pac-12,29,22,7,0.759,15,5,0.75,13,2,7,3,2,2,1,1,1455,1287,72.8,64.4,2168,1888,74.8,65.1,788,1687,0.467,183,526,0.348,409,632,0.647,23.65,113.6,30,89.9,19,67.3,236,-0.006,194,11.13,64,5.03,128,108.1,57,97,70,First Round,1,USC,6,,,53,48,Drake,Missouri Valley,29,25,4,0.862,15,3,0.833,14,1,9,2,2,1,1,2,1331,1191,73.9,66.2,2245,1875,77.4,64.7,868,1757,0.494,204,552,0.37,305,428,0.713,16.07,114.6,19,98.6,120,66.8,265,0.095,21,2.18,157,-9.27,310,102.9,172,100.7,138,Drake,11
,,53,2021,48,Drake,0,Missouri Valley,29,25,4,0.862,15,3,0.833,14,1,9,2,2,1,1,2,1331,1191,73.9,66.2,2245,1875,77.4,64.7,868,1757,0.494,204,552,0.37,305,428,0.713,16.07,114.6,19,98.6,120,66.8,265,0.095,21,2.18,157,-9.27,310,102.9,172,100.7,138,First Round,1,Drake,11,24,,14,21,USC,Pac-12,29,22,7,0.759,15,5,0.75,13,2,7,3,2,2,1,1,1455,1287,72.8,64.4,2168,1888,74.8,65.1,788,1687,0.467,183,526,0.348,409,632,0.647,23.65,113.6,30,89.9,19,67.3,236,-0.006,194,11.13,64,5.03,128,108.1,57,97,70,USC,6
12,6,22,2021,12,Kansas,0,Big 12,28,20,8,0.714,12,6,0.667,13,1,4,6,2,1,8,6,1279,1164,71.1,64.7,2047,1841,73.1,65.8,737,1676,0.44,209,608,0.344,364,511,0.712,22.46,110.3,59,87.9,6,68.3,186,0.042,87,14.71,20,10.14,56,110,23,95.3,31,First Round,1,Kansas,3,,,110,58,Eastern Washington,Big Sky,23,16,7,0.696,12,3,0.8,7,2,6,5,3,0,0,0,1244,1086,82.9,72.4,1795,1597,78,69.4,638,1367,0.467,194,548,0.354,325,413,0.787,8.08,108.4,86,100.3,152,72.4,28,-0.081,323,-3.21,236,17.77,12,100.6,237,103.8,241,Eastern Washington,14
,,110,2021,58,Eastern Washington,1,Big Sky,23,16,7,0.696,12,3,0.8,7,2,6,5,3,0,0,0,1244,1086,82.9,72.4,1795,1597,78,69.4,638,1367,0.467,194,548,0.354,325,413,0.787,8.08,108.4,86,100.3,152,72.4,28,-0.081,323,-3.21,236,17.77,12,100.6,237,103.8,241,First Round,1,Eastern Washington,14,12,6,22,12,Kansas,Big 12,28,20,8,0.714,12,6,0.667,13,1,4,6,2,1,8,6,1279,1164,71.1,64.7,2047,1841,73.1,65.8,737,1676,0.44,209,608,0.344,364,511,0.712,22.46,110.3,59,87.9,6,68.3,186,0.042,87,14.71,20,10.14,56,110,23,95.3,31,Kansas,3
,20,36,2021,25,Oregon,0,Pac-12,26,20,6,0.769,14,4,0.778,11,2,7,2,2,2,0,1,1311,1229,72.8,68.3,1934,1753,74.4,67.4,715,1515,0.472,218,575,0.379,286,406,0.704,19.11,115.1,16,96,76,67.2,242,0.048,76,10.06,75,2.73,164,107.7,68,97.6,89,First Round,1,Oregon,7,,,45,38,VCU,Atlantic 10,26,19,7,0.731,10,4,0.714,11,2,5,4,2,1,0,1,965,918,68.9,65.6,1864,1694,71.7,65.2,659,1460,0.451,168,510,0.329,378,497,0.761,17.34,106.2,117,88.8,12,69.8,110,0.035,98,8.96,86,5.52,119,106.6,87,97.6,86,VCU,10
,,45,2021,38,VCU,0,Atlantic 10,26,19,7,0.731,10,4,0.714,11,2,5,4,2,1,0,1,965,918,68.9,65.6,1864,1694,71.7,65.2,659,1460,0.451,168,510,0.329,378,497,0.761,17.34,106.2,117,88.8,12,69.8,110,0.035,98,8.96,86,5.52,119,106.6,87,97.6,86,First Round,1,VCU,10,,20,36,25,Oregon,Pac-12,26,20,6,0.769,14,4,0.778,11,2,7,2,2,2,0,1,1311,1229,72.8,68.3,1934,1753,74.4,67.4,715,1515,0.472,218,575,0.379,286,406,0.704,19.11,115.1,16,96,76,67.2,242,0.048,76,10.06,75,2.73,164,107.7,68,97.6,89,Oregon,7
8,5,5,2021,7,Iowa,0,Big Ten,29,21,8,0.724,14,6,0.7,14,2,6,4,1,2,8,5,1605,1437,80.3,71.9,2429,2086,83.8,71.9,863,1839,0.469,283,733,0.386,420,589,0.713,30.33,124.2,2,93.9,50,70,99,-0.028,240,16.91,13,-5.43,286,110.3,19,93.4,6,First Round,1,Iowa,2,,,108,59,Grand Canyon,WAC,23,17,6,0.739,9,3,0.75,10,3,5,1,2,2,0,1,827,738,68.9,61.5,1738,1405,75.6,61.1,646,1314,0.492,156,470,0.332,290,423,0.686,8.41,104.2,142,95.8,74,65.5,314,-0.061,299,-4.01,255,0.68,201,100.3,245,104.3,270,Grand Canyon,15
,,108,2021,59,Grand Canyon,1,WAC,23,17,6,0.739,9,3,0.75,10,3,5,1,2,2,0,1,827,738,68.9,61.5,1738,1405,75.6,61.1,646,1314,0.492,156,470,0.332,290,423,0.686,8.41,104.2,142,95.8,74,65.5,314,-0.061,299,-4.01,255,0.68,201,100.3,245,104.3,270,First Round,1,Grand Canyon,15,8,5,5,7,Iowa,Big Ten,29,21,8,0.724,14,6,0.7,14,2,6,4,1,2,8,5,1605,1437,80.3,71.9,2429,2086,83.8,71.9,863,1839,0.469,283,733,0.386,420,589,0.713,30.33,124.2,2,93.9,50,70,99,-0.028,240,16.91,13,-5.43,286,110.3,19,93.4,6,Iowa,2
4,25,2,2021,4,Michigan,0,Big Ten,24,20,4,0.833,14,3,0.824,13,1,6,2,1,1,6,3,1252,1088,73.6,64,1830,1569,76.3,65.4,668,1382,0.483,181,468,0.387,311,400,0.778,32.22,120.1,6,87.9,7,66.8,260,0.026,115,16.87,14,2.99,158,111.3,12,94.5,18,First Round,1,Michigan,1,,,229,66,Texas Southern,SWAC,24,16,8,0.667,10,3,0.769,8,2,5,6,3,0,0,0,976,876,75.1,67.4,1795,1672,74.8,69.7,650,1443,0.45,110,398,0.276,385,551,0.699,-4.63,99.7,236,104.3,236,72,41,0.055,61,-10.23,341,13.39,30,94,341,104.2,267,Texas Southern,16
,,229,2021,66,Texas Southern,1,SWAC,24,16,8,0.667,10,3,0.769,8,2,5,6,3,0,0,0,976,876,75.1,67.4,1795,1672,74.8,69.7,650,1443,0.45,110,398,0.276,385,551,0.699,-4.63,99.7,236,104.3,236,72,41,0.055,61,-10.23,341,13.39,30,94,341,104.2,267,First Round,1,Texas Southern,16,4,25,2,4,Michigan,Big Ten,24,20,4,0.833,14,3,0.824,13,1,6,2,1,1,6,3,1252,1088,73.6,64,1830,1569,76.3,65.4,668,1382,0.483,181,468,0.387,311,400,0.778,32.22,120.1,6,87.9,7,66.8,260,0.026,115,16.87,14,2.99,158,111.3,12,94.5,18,Michigan,1
,,29,2021,29,LSU,0,SEC,27,18,9,0.667,11,6,0.647,11,2,4,6,3,1,2,5,1382,1324,81.3,77.9,2217,2034,82.1,75.3,784,1692,0.463,220,628,0.35,429,575,0.746,21.02,120.5,5,99.4,125,70.8,78,0.002,167,13.5,37,0.56,204,107.8,65,94.3,14,First Round,1,LSU,8,,,25,39,St. Bonaventure,Atlantic 10,20,16,4,0.8,11,4,0.733,8,1,4,3,4,0,0,0,1032,887,68.8,59.1,1410,1207,70.5,60.4,521,1161,0.449,131,370,0.354,237,323,0.734,22.25,112,38,89.8,17,65.2,319,0.014,143,8.29,90,2.86,163,105.8,97,97.6,83,St. Bonaventure,9
,,25,2021,39,St. Bonaventure,1,Atlantic 10,20,16,4,0.8,11,4,0.733,8,1,4,3,4,0,0,0,1032,887,68.8,59.1,1410,1207,70.5,60.4,521,1161,0.449,131,370,0.354,237,323,0.734,22.25,112,38,89.8,17,65.2,319,0.014,143,8.29,90,2.86,163,105.8,97,97.6,83,First Round,1,St. Bonaventure,9,,,29,29,LSU,SEC,27,18,9,0.667,11,6,0.647,11,2,4,6,3,1,2,5,1382,1324,81.3,77.9,2217,2034,82.1,75.3,784,1692,0.463,220,628,0.35,429,575,0.746,21.02,120.5,5,99.4,125,70.8,78,0.002,167,13.5,37,0.56,204,107.8,65,94.3,14,LSU,8
22,,17,2021,20,Colorado,0,Pac-12,30,22,8,0.733,14,6,0.7,11,1,6,6,4,1,3,1,1445,1298,72.3,64.9,2191,1898,73,63.3,774,1704,0.454,224,611,0.367,419,510,0.822,23.11,115.1,17,92,29,66.4,280,-0.033,252,10.78,68,1.99,180,107.8,66,97,71,First Round,1,Colorado,5,,,55,47,Georgetown,Big East,25,13,12,0.52,7,9,0.438,7,6,2,6,4,0,3,4,1144,1199,71.5,74.9,1784,1767,71.4,70.7,621,1463,0.424,208,568,0.366,334,443,0.754,15.49,108.4,85,92.9,41,69.6,113,0.001,171,14.45,25,4.5,135,110.3,25,95.8,39,Georgetown,12
,,55,2021,47,Georgetown,1,Big East,25,13,12,0.52,7,9,0.438,7,6,2,6,4,0,3,4,1144,1199,71.5,74.9,1784,1767,71.4,70.7,621,1463,0.424,208,568,0.366,334,443,0.754,15.49,108.4,85,92.9,41,69.6,113,0.001,171,14.45,25,4.5,135,110.3,25,95.8,39,First Round,1,Georgetown,12,22,,17,20,Colorado,Pac-12,30,22,8,0.733,14,6,0.7,11,1,6,6,4,1,3,1,1445,1298,72.3,64.9,2191,1898,73,63.3,774,1704,0.454,224,611,0.367,419,510,0.822,23.11,115.1,17,92,29,66.4,280,-0.033,252,10.78,68,1.99,180,107.8,66,97,71,Colorado,5
14,21,15,2021,13,Florida State,0,ACC,22,16,6,0.727,11,4,0.733,12,1,3,4,1,1,2,0,1208,1060,80.5,70.7,1736,1547,78.9,70.3,620,1307,0.474,181,464,0.39,315,427,0.738,23.5,117.1,10,93.6,48,70.6,84,-0.011,207,12.54,44,4.23,142,108.8,46,96.2,45,First Round,1,Florida State,4,,,100,54,UNC Greensboro,Southern,29,21,8,0.724,13,5,0.722,7,3,10,3,4,2,0,0,1331,1213,73.9,67.4,2135,1956,73.6,67.4,803,1894,0.424,221,736,0.3,308,451,0.683,9.58,104.8,129,95.2,67,68.5,174,0.005,161,0.74,169,-2.77,252,103.2,162,102.5,192,UNC Greensboro,13
,,100,2021,54,UNC Greensboro,1,Southern,29,21,8,0.724,13,5,0.722,7,3,10,3,4,2,0,0,1331,1213,73.9,67.4,2135,1956,73.6,67.4,803,1894,0.424,221,736,0.3,308,451,0.683,9.58,104.8,129,95.2,67,68.5,174,0.005,161,0.74,169,-2.77,252,103.2,162,102.5,192,First Round,1,UNC Greensboro,13,14,21,15,13,Florida State,ACC,22,16,6,0.727,11,4,0.733,12,1,3,4,1,1,2,0,1208,1060,80.5,70.7,1736,1547,78.9,70.3,620,1307,0.474,181,464,0.39,315,427,0.738,23.5,117.1,10,93.6,48,70.6,84,-0.011,207,12.54,44,4.23,142,108.8,46,96.2,45,Florida State,4
23,,24,2021,23,BYU,0,WCC,26,20,6,0.769,10,3,0.769,10,2,7,2,2,2,1,3,1019,874,78.4,67.2,2047,1780,78.7,68.5,751,1557,0.482,233,616,0.378,312,427,0.731,22.37,113.8,28,91.4,26,68,199,0.045,84,10.28,73,8.69,73,107.8,64,97.5,82,First Round,1,BYU,6,,22,44,44,UCLA,Pac-12,26,17,9,0.654,13,6,0.684,11,1,5,5,1,2,0,1,1350,1282,71.1,67.5,1894,1781,72.8,68.5,686,1485,0.462,173,471,0.367,349,484,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,UCLA,11
,22,44,2021,44,UCLA,0,Pac-12,26,17,9,0.654,13,6,0.684,11,1,5,5,1,2,0,1,1350,1282,71.1,67.5,1894,1781,72.8,68.5,686,1485,0.462,173,471,0.367,349,484,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,First Round,1,UCLA,11,23,,24,23,BYU,WCC,26,20,6,0.769,10,3,0.769,10,2,7,2,2,2,1,3,1019,874,78.4,67.2,2047,1780,78.7,68.5,751,1557,0.482,233,616,0.378,312,427,0.731,22.37,113.8,28,91.4,26,68,199,0.045,84,10.28,73,8.69,73,107.8,64,97.5,82,BYU,6
9,19,26,2021,11,Texas,1,Big 12,26,19,7,0.731,11,6,0.647,8,5,6,2,5,0,7,6,1277,1211,75.1,71.2,1956,1789,75.2,68.8,684,1507,0.454,225,632,0.356,363,513,0.708,22.01,114.5,21,92.5,36,69.2,137,0.017,140,14.05,30,8.32,80,109,41,94.9,23,First Round,1,Texas,3,,,86,55,Abilene Christian,Southland,27,23,4,0.852,13,2,0.867,13,0,5,4,5,0,0,1,1178,943,78.5,62.9,2096,1634,77.6,60.5,749,1628,0.46,214,606,0.353,384,571,0.673,11.56,103.7,157,92.2,30,70,101,-0.027,238,-8.15,331,4.29,138,97.6,318,105.8,329,Abilene Christian,14
,,86,2021,55,Abilene Christian,1,Southland,27,23,4,0.852,13,2,0.867,13,0,5,4,5,0,0,1,1178,943,78.5,62.9,2096,1634,77.6,60.5,749,1628,0.46,214,606,0.353,384,571,0.673,11.56,103.7,157,92.2,30,70,101,-0.027,238,-8.15,331,4.29,138,97.6,318,105.8,329,First Round,1,Abilene Christian,14,9,19,26,11,Texas,Big 12,26,19,7,0.731,11,6,0.647,8,5,6,2,5,0,7,6,1277,1211,75.1,71.2,1956,1789,75.2,68.8,684,1507,0.454,225,632,0.356,363,513,0.708,22.01,114.5,21,92.5,36,69.2,137,0.017,140,14.05,30,8.32,80,109,41,94.9,23,Texas,3
,,16,2021,26,UConn,0,Big East,22,15,7,0.682,11,6,0.647,7,3,6,3,2,1,0,4,1214,1113,71.4,65.5,1596,1422,72.5,64.6,581,1323,0.439,148,440,0.336,286,391,0.731,23.33,114.3,24,90.9,25,66,301,-0.066,307,12.6,42,-2.02,243,107.9,62,95.3,28,First Round,1,UConn,7,,,31,36,Maryland,Big Ten,29,16,13,0.552,9,11,0.45,11,6,4,6,1,1,4,7,1290,1315,64.5,65.8,1995,1884,68.8,65,699,1533,0.456,234,663,0.353,363,517,0.702,20.15,111.6,42,91.5,27,65.3,317,-0.035,253,17.06,12,-0.8,225,110.1,22,93.1,4,Maryland,10
